MARIA ELISA,6803,49.2
MARIA ANGELS,6794,50.0
LAURA MARIA,6792,25.7
MARIA DESAMPARADOS,6737,51.4
NAIMA,6729,33.0
LILIANA,6705,34.8
LUZ MARIA,6643,36.1
MARIA VICENTA,6611,52.3
INES MARIA,6577,38.7
IDOIA,6567,31.7
DIONISIA,6564,69.1
MIHAELA,6532,31.6
MARIA CINTA,6527,54.1
INMACULADA CONCEPCION,6526,35.3
MARIA SONIA,6505,38.8
JACINTA,6503,66.8
FABIOLA,6493,35.0
MARIA OLGA,6481,50.7
AINOA,6478,13.4
MARIA NATIVIDAD,6468,56.3
ZAIRA,6466,11.7
OLIVIA,6464,25.8
DESAMPARADOS,6455,60.5
IRATI,6408,10.5
MODESTA,6352,68.1
INGRID,6345,26.3
BRIGIDA,6344,62.4
MARIA ANGELA,6332,54.2
RUFINA,6308,69.0
GRACIA,6231,57.1
NAYARA,6204,6.1
ROSANA,6177,30.4
IZASKUN,6081,33.0
REYES,6070,44.1
CARMEN ROSA,6045,47.1
CLOTILDE,6042,66.4
JESICA,6033,23.4
EVANGELINA,6021,60.7
ANGUSTIAS,5989,64.4
MARIA JUANA,5986,60.6
OTILIA,5970,65.5
JANA,5942,11.9
BIENVENIDA,5922,62.8
SOCORRO,5913,66.1
MARIA FATIMA,5911,41.7
EMILIANA,5903,68.8
BALBINA,5887,67.7
SALMA,5886,6.8
MARIONA,5878,13.8
CORAL,5856,21.1
MARIA BEATRIZ,5847,40.2
MARIA ANGUSTIAS,5805,51.2
MARIA ARACELI,5770,47.5
URSULA,5753,46.5
IRATXE,5747,24.5
GERTRUDIS,5736,62.8
DOMINGA,5730,65.6
MALIKA,5727,41.2
MAIDER,5675,19.8
MIREYA,5664,18.3
SAMIRA,5647,26.6
MARIA PIEDAD,5641,53.2
GEORGINA,5600,31.2
DEBORA,5536,23.7
LUNA,5458,9.6
TERESA JESUS,5433,49.2
ANASTASIA,5374,54.1
FELICIANA,5325,67.9
EUSEBIA,5323,70.3
JOSEFA MARIA,5310,50.6
IGNACIA,5261,68.7
YANIRA,5259,11.0
ENCARNA,5242,56.3
SONIA MARIA,5241,34.6
VICTORINA,5226,71.9
FATIHA,5216,35.2
MARIAM,5216,14.1
DAVINIA,5201,22.9
FELICITAS,5136,69.8
MARIA ALEJANDRA,5134,30.5
NAGORE,5122,21.0
ENGRACIA,5103,68.7
OLGA MARIA,5063,38.5
MARCELA,5052,48.9
MARIA NURIA,5034,46.1
ALEXIA,5023,10.7
INOCENCIA,5003,67.9
PRESENTACION,4967,67.2
RACHIDA,4967,36.3
NICOLASA,4941,68.1
ILUMINADA,4937,63.5
MARIA AZUCENA,4913,47.2
ABRIL,4910,4.9
AZAHARA,4883,17.1
MARIA CONSOLACION,4867,56.1
AMINA,4822,28.7
FAUSTINA,4802,68.3
SARAI,4764,19.1
MAIALEN,4749,13.3
SATURNINA,4738,71.0
GUILLERMINA,4730,59.2
CRISTINA MARIA,4706,28.9
MARIA RAQUEL,4705,43.6
KARIMA,4704,28.8
MARIBEL,4690,40.2
MARIA ELVIRA,4686,49.3
OLIVA,4684,65.4
MYRIAM,4679,28.6
SALUD,4675,59.9
FERMINA,4667,67.6
FRANCESCA,4662,51.6
CELESTINA,4632,67.7
GLORIA MARIA,4611,38.7
MARIA LAURA,4600,38.6
COVADONGA,4559,38.5
MARIA SALUD,4552,50.3
MARIA PRADO,4522,46.6
MARIA EVA,4518,44.5
